,acc_educacion,acc_salud,acc_transporte,acc_entorno,acc_seguridad,acc_comercial,idx_vida_urbana,idx_calidad_vida,idx_habitabilidad_global
acc_educacion,1.0,0.620142613407171,0.4663127102971916,0.6528996207156834,0.5863939670479182,0.4717357862210613,0.7016383902175514,0.7845875424156455,0.7800885329637524
acc_salud,0.620142613407171,1.0,0.6574144519527976,0.39040643680851617,0.43227857604030184,0.7106513751650377,0.921507125888384,0.6585456809077573,0.8852797753638658
acc_transporte,0.4663127102971916,0.6574144519527976,1.0,0.2993206299929533,0.41207846811241,0.6108220866537738,0.8814926431602362,0.5638850672060916,0.8221001925456777
acc_entorno,0.6528996207156834,0.39040643680851617,0.2993206299929533,1.0,0.44067418892603716,0.21825692410324732,0.44830580029214423,0.8205148929534838,0.617960170225791
acc_seguridad,0.5863939670479182,0.43227857604030184,0.41207846811241,0.44067418892603716,1.0,0.2544496608701897,0.511368928755465,0.7713472363986229,0.6432573643864814
acc_comercial,0.4717357862210613,0.7106513751650377,0.6108220866537738,0.21825692410324732,0.2544496608701897,1.0,0.7273094222877268,0.5898109668220305,0.724945877615156
idx_vida_urbana,0.7016383902175514,0.921507125888384,0.8814926431602362,0.44830580029214423,0.511368928755465,0.7273094222877268,1.0,0.730966520346882,0.966800451418791
idx_calidad_vida,0.7845875424156455,0.6585456809077573,0.5638850672060916,0.8205148929534838,0.7713472363986229,0.5898109668220305,0.730966520346882,1.0,0.881077582975343
idx_habitabilidad_global,0.7800885329637524,0.8852797753638658,0.8221001925456777,0.617960170225791,0.6432573643864814,0.724945877615156,0.966800451418791,0.881077582975343,1.0
