Modelo,R²,RMSE,MAE
RF Global (Baseline),0.21952054467396365,10302.180103199275,3230.258736016625
GWRF por Cluster,-0.10009754760441347,12231.057235188075,3570.5325934190223
GWRF por Densidad,-0.07646847628877329,12098.98834422368,3261.6508925248436
