fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;url
2025-11-29 17:37:02;La Reina;casa;Casa En Condominio / Álvaro Casanova  Reina Alta;23890;CLF;5 dormitorios;3 baños;226 m² útiles;5 dormitorios | 3 baños | 226 m² útiles;Álvaro Casanova, 1 - 300, La Reina Alta, La Reina;
2025-11-29 17:37:02;La Reina;casa;Luminosa, Moderna Y Amplia;18500;CLF;4 dormitorios;3 baños;160 m² útiles;4 dormitorios | 3 baños | 160 m² útiles;Alcalde Alejandro Chadwick 2021, La Reina, Metro Príncipe De Gales - Country Club, La Reina;
2025-11-29 17:37:02;La Reina;casa;Casa En Condominio La Reina Alta A Precio Oportunidad;12900;CLF;4 dormitorios;3 baños;147 m² útiles;4 dormitorios | 3 baños | 147 m² útiles;Carlos Ossandón, La Reina;
2025-11-29 17:37:02;La Reina;casa;Rica Casa En La Reina, 2 Dorm 2 Baños Lugar Muy Tranquilo;8950;CLF;2 dormitorios;2 baños;110 m² útiles;2 dormitorios | 2 baños | 110 m² útiles;Los Maitenes 430, Pepe Vila, La Reina;
2025-11-29 17:37:02;La Reina;casa;Oportunidad ! Townhouse En La Reina Con Buena Ubic...;11500;CLF;4 dormitorios;3 baños;94 m² útiles;4 dormitorios | 3 baños | 94 m² útiles;La Reina;
2025-11-29 17:37:02;La Reina;casa;Preciosa Casa En Venta Condominio Álvaro Casanova;20900;CLF;5 dormitorios;4 baños;190 m² útiles;5 dormitorios | 4 baños | 190 m² útiles;La Reina, La Reina Alta;
2025-11-29 17:37:02;La Reina;casa; Como  Nueva Casa En Venta, La Reina Alta;19800;CLF;4 dormitorios;4 baños;309 m² útiles;4 dormitorios | 4 baños | 309 m² útiles;La Reina, La Reina Alta;
2025-11-29 17:37:02;La Reina;casa;Casa En Venta Condominio De 5 Dorm. En La Reina;16490;CLF;5 dormitorios;4 baños;230 m² útiles;5 dormitorios | 4 baños | 230 m² útiles;Onofre Jarpa, Padre Hurtado, La Reina;
2025-11-29 17:37:02;La Reina;casa;Black Property. Oportunidad. Venta Casa A Pasos An...;13205;CLF;5 dormitorios;4 baños;227 m² útiles;5 dormitorios | 4 baños | 227 m² útiles;La Reina, Carlos Ossandón;
2025-11-29 17:37:02;La Reina;casa;Magnifica Casa Con Patio Oriente;16600;CLF;6 dormitorios;5 baños;277 m² útiles;6 dormitorios | 5 baños | 277 m² útiles;Sta. Rita ,, Palmas De Mallorca, La Reina;
2025-11-29 17:37:02;La Reina;casa;Casa En Venta En La Reina Alta Con Jardín;12540;CLF;3 dormitorios;3 baños;165 m² útiles;3 dormitorios | 3 baños | 165 m² útiles;Nueva Príncipe De Gales 610, 7860308 La Reina, Región Metropolitana, Chile, La Reina Alta, La Reina;
