fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion
2025-11-29 18:09:51;Ñuñoa;casa;Casa En Venta De 5 Dorm. En Ñuñoa;465000000;CLP;5 dormitorios;4 baños;214 m² útiles;5 dormitorios | 4 baños | 214 m² útiles;En Venta Casa Aislada Con 2°Piso En Av. Irarrázaval Con Campos De Deportes, Metro Monseñor Eyzaguirre, Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Townhouse En Sector Con Mucha Vida De Barrio;12000;CLF;4 dormitorios;3 baños;130 m² útiles;4 dormitorios | 3 baños | 130 m² útiles;Diego De Almagro, Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Terreno Para Desarrollo Inmobiliario;16550;CLF;5 dormitorios;2 baños;142 m² útiles;5 dormitorios | 2 baños | 142 m² útiles;Exequiel Fernandez, 1200 - 1500, Estadio Nacional, Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Casa Mujica Id: 150414;12000;CLF;5 dormitorios;3 baños;240 m² útiles;5 dormitorios | 3 baños | 240 m² útiles;Mujica, Metro Irarrázaval, Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Casa En Venta En Ñuñoa En Hamburgo 585, Ñuñoa, Santiago;8900;CLF;4 dormitorios;3 baños;93 m² útiles;4 dormitorios | 3 baños | 93 m² útiles;Hamburgo 585, Ñuñoa, Santiago, Plaza Egaña, Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Casa En Venta De 3 Dorm. En Ñuñoa;65000000;CLP;3 dormitorios;1 baño;68 m² útiles;3 dormitorios | 1 baño | 68 m² útiles;Casa De 1 Piso En Guillermo Mann Con Lo Encalada, Estadio Nacional, Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Casa En Venta En Ñuñoa;220000000;CLP;;;;;Casa 2 Pisos A Pasos De Estación Metro Simón Bolivar, Metro Simón Bolivar, Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Clásica Propiedad Ñuñoína Para Remodelar.;18100;CLF;6 dormitorios;2 baños;240 m² útiles;6 dormitorios | 2 baños | 240 m² útiles;Hamburgo, Plaza Egaña, Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Amplia Casa En Barrio Residencial;12500;CLF;4 dormitorios;3 baños;173 m² útiles;4 dormitorios | 3 baños | 173 m² útiles;Villaseca , Ñuñoa, Región Metropolitana, Chile, Metro Ñuñoa, Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Clásica Casa Ñuñoína/3d + Servicio;10990;CLF;4 dormitorios;2 baños;146 m² útiles;4 dormitorios | 2 baños | 146 m² útiles;Juan Moya, Parque Juan XXIII, Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Casa Antigua/fachada Continua;9990;CLF;4 dormitorios;2 baños;156 m² útiles;4 dormitorios | 2 baños | 156 m² útiles;Alcalde Eduardo Castillo Velasco, Metro Monseñor Eyzaguirre, Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Se Vende Casa Familiar 4d/3b Con Piscina - Parque Botánico;15950;CLF;4 dormitorios;3 baños;250 m² útiles;4 dormitorios | 3 baños | 250 m² útiles;Parque Botánico, Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Casa 4d+ Servicios/sector Residencial Tranquilo;15950;CLF;5 dormitorios;4 baños;190 m² útiles;5 dormitorios | 4 baños | 190 m² útiles;Garcia Moreno, Parque Botánico, Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Casa En Venta En Metro Monseñor Eyzaguirre Con Piscina;12500;CLF;3 dormitorios;2 baños;199 m² útiles;3 dormitorios | 2 baños | 199 m² útiles;Avenida Simón Bolívar, Metro Monseñor Eyzaguirre, Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Casa En Venta En Ñuñoa;19450;CLF;6 dormitorios;3 baños;213 m² útiles;6 dormitorios | 3 baños | 213 m² útiles;Los Talaveras N°, Parque Juan XXIII, Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Clásica Casa Ñuñoína Sector Oriente;16900;CLF;4 dormitorios;3 baños;153 m² útiles;4 dormitorios | 3 baños | 153 m² útiles;Juan Francisco Gonzalez, Metro Simón Bolivar, Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Casa Para Remodelar/amplio Patio;12000;CLF;2 dormitorios;1 baño;120 m² útiles;2 dormitorios | 1 baño | 120 m² útiles;Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Casa En Pasaje, Cercana A Plaza Ñuñoa;14500;CLF;4 dormitorios;2 baños;283 m² útiles;4 dormitorios | 2 baños | 283 m² útiles;José Ignacio Vergara , Ñuñoa, Santiago, Región Metropolitana, Chile, Plaza Ñuñoa, Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Casa En Venta En Matta Oriente Con Jardín;11000;CLF;10 dormitorios;10 baños;584 m² útiles;10 dormitorios | 10 baños | 584 m² útiles;Matta Oriente  -, Metro Irarrázaval, Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Oportunidad! Casa Para Inversión.;10500;CLF;9 dormitorios;8 baños;415 m² útiles;9 dormitorios | 8 baños | 415 m² útiles;Matta Oriente, Metro Irarrázaval, Ñuñoa;
2025-11-29 18:09:51;Ñuñoa;casa;Casa En Venta En Parque Botánico Ñuñoa;16400;CLF;5 dormitorios;3 baños;350 m² útiles;5 dormitorios | 3 baños | 350 m² útiles;Montenegro, Parque Botánico, Ñuñoa;
2025-11-29 18:10:52;Ñuñoa;casa;Amplia Casa Sector Residencial;15900;CLF;3 dormitorios;2 baños;125 m² útiles;3 dormitorios | 2 baños | 125 m² útiles;Brown Norte, Plaza Ñuñoa, Ñuñoa;
2025-11-29 18:10:52;Ñuñoa;casa;Amplia Casa Sector Simon Bolivar;10800;CLF;4 dormitorios;2 baños;148 m² útiles;4 dormitorios | 2 baños | 148 m² útiles;Av Ossa, Plaza Egaña, Ñuñoa;
2025-11-29 18:10:52;Ñuñoa;casa;Casa En Pasaje 3d-2b / Sector Residencial.;6550;CLF;3 dormitorios;2 baños;91 m² útiles;3 dormitorios | 2 baños | 91 m² útiles;Metro Ñuñoa, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Venta, Ñuñoa, Propiedad 525 Mts2;15400;CLF;;;525 m² útiles;525 m² útiles;Natalio Stein, 1 - 300, Metro Simón Bolivar, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa 2 Pisos, Venta, 4d, 3b, 3e. Ñuñoa;15950;CLF;4 dormitorios;3 baños;170 m² útiles;4 dormitorios | 3 baños | 170 m² útiles;General Gorostiaga, 1 - 300, Parque Botánico, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta En Ñuñoa A Pasos Del Metro Ñuñoa;8200;CLF;4 dormitorios;3 baños;93 m² útiles;4 dormitorios | 3 baños | 93 m² útiles;Campos De Deportes, 225, Metro Monseñor Eyzaguirre, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Venta Casa 298mts Metro Principe De Gales, Ñuñoa;12000;CLF;4 dormitorios;2 baños;130 m² útiles;4 dormitorios | 2 baños | 130 m² útiles;ROMEO SALINAS, Diego De Almagro, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Venta ¡acogedora Casa! Con Ampliación En Ñuñoa ;16875;CLF;6 dormitorios;4 baños;278 m² útiles;6 dormitorios | 4 baños | 278 m² útiles;Julio Zegers, Parque Juan XXIII, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Hermosa Casa En Barrio Patrimonial Suárez Mujica;12800;CLF;5 dormitorios;3 baños;194 m² útiles;5 dormitorios | 3 baños | 194 m² útiles;Carmen Covarrubias, 1 - 300, Estadio Nacional, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta De 3 Dorm. En Ñuñoa;12900;CLF;4 dormitorios;3 baños;144 m² útiles;4 dormitorios | 3 baños | 144 m² útiles;Eliecer Parada / Echeñique, Parque Botánico, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta De 6 Dorm. En Ñuñoa;1500000000;CLP;6 dormitorios;3 baños;263 m² útiles;6 dormitorios | 3 baños | 263 m² útiles;Manuel De Salas, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa De 4d 3b Gran Ubicación Habitacional O Comercial;12300;CLF;4 dormitorios;3 baños;145 m² útiles;4 dormitorios | 3 baños | 145 m² útiles;Simon Bolivar 2965, Plaza Ñuñoa, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta En Ñuñoa;12000;CLF;4 dormitorios;3 baños;177 m² útiles;4 dormitorios | 3 baños | 177 m² útiles;Juan Moya Morales, Ñuñoa, Macul, Villa Los Jardínes - Villa Los Presidentes, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;¡atención! Oportunidad En Ñuñoa Casa 5d-4b;13000;CLF;5 dormitorios;4 baños;171 m² útiles;5 dormitorios | 4 baños | 171 m² útiles;Luis Pereira, 600 - 900, Parque Botánico, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Elegante Casa Esquina 2 Pisos Para Institución O Negocio;27900;CLF;6 dormitorios;4 baños;364 m² útiles;6 dormitorios | 4 baños | 364 m² útiles;General Miranda / Campos De Deportes, Estadio Nacional, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta En Ñuñoa;20500;CLF;17 dormitorios;17 baños;240 m² útiles;17 dormitorios | 17 baños | 240 m² útiles;Matta Oriente, Ñuñoa, Chile, Metro Irarrázaval, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Carmen Covarrubias 117;465000000;CLP;5 dormitorios;4 baños;214 m² útiles;5 dormitorios | 4 baños | 214 m² útiles;Carmen Covarrubias 117, Santiago, Ñuñoa, Metro Monseñor Eyzaguirre, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Acogedora Casa Buen Terreno.;7150;CLF;5 dormitorios;2 baños;150 m² útiles;5 dormitorios | 2 baños | 150 m² útiles;Los Avellanos, 2400 - 2700, Estadio Nacional, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Venta Casa En Ñuñoa;15500;CLF;10 dormitorios;6 baños;218 m² útiles;10 dormitorios | 6 baños | 218 m² útiles;Los Cerezos 261 - 300, 0, Villa Frei, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Inversionista Casona En Venta, Ñuñoa;12500;CLF;11 dormitorios;5 baños;306 m² útiles;11 dormitorios | 5 baños | 306 m² útiles;Estrella Solitaria, 0, Plaza Egaña, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta De 3 Dorm. En Ñuñoa;7980;CLF;3 dormitorios;2 baños;125 m² útiles;3 dormitorios | 2 baños | 125 m² útiles;Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Cómoda Casa 2 Pisos En Mejor Barrio De Ñuñoa;11400;CLF;4 dormitorios;3 baños;170 m² útiles;4 dormitorios | 3 baños | 170 m² útiles;Jaime Guzmán Errázuriz / Eliecer Parada, Plaza Ñuñoa, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa Venta Ñuñoa 3 Dormitorios Campo Deportes ;5980;CLF;3 dormitorios;1 baño;98 m² útiles;3 dormitorios | 1 baño | 98 m² útiles;Campos De Deportes Castillo Velasco, Estadio Nacional, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Venta Casa En Ñuñoa, 4 Dormitorios 3 Baños, Patio Y Terraza;8900;CLF;4 dormitorios;3 baños;167 m² útiles;4 dormitorios | 3 baños | 167 m² útiles;Av Grecia Entre Juan Moya Y Jorge Monckeberg, Parque Juan XXIII, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Venta Casa 4d+2b Santa Julia / Fernando C. Velasco;9500;CLF;4 dormitorios;2 baños;132 m² útiles;4 dormitorios | 2 baños | 132 m² útiles;Santa Julia, 300 - 600, Parque Juan XXIII, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Pasaje Cerrado En Barrio Suarez Mujica;6500;CLF;3 dormitorios;2 baños;84 m² útiles;3 dormitorios | 2 baños | 84 m² útiles;Jose Manuel Infante, 1 - 300, Estadio Nacional, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Encantadora Casa 2d 1b Remodelada En 2018 Con Patio En Ñuñoa;6500;CLF;2 dormitorios;1 baño;92 m² útiles;2 dormitorios | 1 baño | 92 m² útiles;"Rosita Renard &amp;; Echeñique, Metro Simón Bolivar, Ñuñoa";
2025-11-29 18:11:34;Ñuñoa;casa;Venta Casa 4 Dorm 3 Estaciona Ñuñoa Juan Monckeberg ;210000000;CLP;4 dormitorios;2 baños;150 m² útiles;4 dormitorios | 2 baños | 150 m² útiles;Alcalde Jorge Monckeberg, Cerca De Juan Ignacio Carrera Pinto, Villa Los Jardínes - Villa Los Presidentes, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Venta Casa En Ñuñoa Comercial- Habitacion Requiere Remodelar;7090;CLF;4 dormitorios;3 baños;135 m² útiles;4 dormitorios | 3 baños | 135 m² útiles;Dublé Almeyda Con Los Aliaga (Entre Los M. Plaza Egaña Y M. Los Orientales), Diagonal Oriente, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta De 4 Dorm. En Ñuñoa;294000000;CLP;4 dormitorios;2 baños;120 m² útiles;4 dormitorios | 2 baños | 120 m² útiles;Sector Plaza Ñuñoa, Plaza Ñuñoa, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Venta Casa 4 Dorm- 3 Bañ- 1 Est, Hamburgo, Ñuñoa ;8900;CLF;4 dormitorios;3 baños;113 m² útiles;4 dormitorios | 3 baños | 113 m² útiles;Hamburgo, Plaza Egaña, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Pasaje, Excelente Ubicación, Mucho Potencial;7990;CLF;3 dormitorios;2 baños;125 m² útiles;3 dormitorios | 2 baños | 125 m² útiles;Av. Simón Bolívar 2700 - 3000, Ñuñoa, Plaza Ñuñoa, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta De 4 Dorm. En Ñuñoa;12500;CLF;4 dormitorios;3 baños;192 m² útiles;4 dormitorios | 3 baños | 192 m² útiles;Los Jazmines / Av. Grecia, Estadio Nacional, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta De 4 Dorm. En Ñuñoa;345000000;CLP;4 dormitorios;2 baños;113 m² útiles;4 dormitorios | 2 baños | 113 m² útiles;Cerca A Av Grecia, Estadio Nacional, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Amplia Casa En Zona Residencial Norte De Ñuñoa;8990;CLF;5 dormitorios;6 baños;229 m² útiles;5 dormitorios | 6 baños | 229 m² útiles;Ortúzar / Pdte. Batlle Y Ordoñez, Villa Frei, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta De 4 Dorm. En Ñuñoa;12900;CLF;4 dormitorios;2 baños;127 m² útiles;4 dormitorios | 2 baños | 127 m² útiles;Romeo Salinas/Amapolas, Diego De Almagro, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta De 7 Dorm. Gran Ubicación En Corazón De Ñuñoa;13490;CLF;7 dormitorios;4 baños;176 m² útiles;7 dormitorios | 4 baños | 176 m² útiles;Presidente Battle Y Ordoñez, Ñuñoa, Parque Juan XXIII, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta En Villa Frei Ñuñoa;8400;CLF;3 dormitorios;2 baños;150 m² útiles;3 dormitorios | 2 baños | 150 m² útiles;LINDA CASA REMODELADA, Villa Frei, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta En Villa Frei Ñuñoa;8500;CLF;4 dormitorios;2 baños;144 m² útiles;4 dormitorios | 2 baños | 144 m² útiles;VILLA FREI (VALOR TASACIÓN BANCARIA), Villa Frei, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta En Estadio Nacional Ñuñoa;11500;CLF;3 dormitorios;2 baños;163 m² útiles;3 dormitorios | 2 baños | 163 m² útiles;CASA CON BUEN TERRENO (BAJO VALOR TASACIÓN), Estadio Nacional, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta En Parque San Eugenio Ñuñoa;8700;CLF;4 dormitorios;4 baños;198 m² útiles;4 dormitorios | 4 baños | 198 m² útiles;EXCELENTE CASA, Parque San Eugenio - Metro Ñuble, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta En Los Tres Antonios;9300;CLF;3 dormitorios;2 baños;130 m² útiles;3 dormitorios | 2 baños | 130 m² útiles;LOS TRES ANTONIOS (MUY LINDA CASA), Estadio Nacional, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta En Plaza Ñuñoa, Ñuñoa;740000000;CLP;5 dormitorios;6 baños;440 m² útiles;5 dormitorios | 6 baños | 440 m² útiles;EDUARDO CASTILLO VELASCO / LOS TRES ANTONIO, Plaza Ñuñoa, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta En Metro Irarrázaval, Ñuñoa;12000;CLF;5 dormitorios;2 baños;240 m² útiles;5 dormitorios | 2 baños | 240 m² útiles;MUJICA, Metro Irarrázaval, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta En Parque Juan Xxiii, Ñuñoa;21000;CLF;5 dormitorios;4 baños;240 m² útiles;5 dormitorios | 4 baños | 240 m² útiles;CARLOS AGUIRRE LUCO / VICENTE REYES, Parque Juan XXIII, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta En Parque Juan Xxiii Ñuñoa;9000;CLF;5 dormitorios;4 baños;151 m² útiles;5 dormitorios | 4 baños | 151 m² útiles;CASA DE 3 PISOS EN MEJOR SECTOR (CONVERSABLE), Parque Juan XXIII, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Excelente Inversión En Ñuñoa;15350;CLF;5 dormitorios;3 baños;335 m² útiles;5 dormitorios | 3 baños | 335 m² útiles;Hamburgo 434, Ñuñoa, Chile, Plaza Egaña, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Venta De Casa En Ñuñoa 4 Dorm., 2baños, Metro Ñuñoa L3 Y L6;280000000;CLP;3 dormitorios;2 baños;98 m² útiles;3 dormitorios | 2 baños | 98 m² útiles;Sucre Con Ricardo Lyon, Metro Ñuñoa, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta De 4 Dorm. En Ñuñoa;11930;CLF;4 dormitorios;4 baños;182 m² útiles;4 dormitorios | 4 baños | 182 m² útiles;Liquido A La Mejor Oferta Celerino Pereira, Amapolas, Ñuñoa;
2025-11-29 18:11:34;Ñuñoa;casa;Casa En Venta De 6 Dorm. En Ñuñoa;9800;CLF;6 dormitorios;4 baños;187 m² útiles;6 dormitorios | 4 baños | 187 m² útiles;Ortuzar/ Battle Y Ordoñez, Villa Frei, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Casa Zona Residencial Con Ubicacion Principal;6990;CLF;3 dormitorios;2 baños;76 m² útiles;3 dormitorios | 2 baños | 76 m² útiles;Metro Orientales, Villa Frei, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Única Oportunidad Excelente Precio Gran Casa En Pucará ;389000000;CLP;5 dormitorios;2 baños;167 m² útiles;5 dormitorios | 2 baños | 167 m² útiles;Av Echenique, Amapolas, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Casa En Venta De 3 Dorm. Cercana A Av Macul;190000000;CLP;3 dormitorios;2 baños;109 m² útiles;3 dormitorios | 2 baños | 109 m² útiles;San Pedro, Juan Gómez Millas, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Casa En Pasaje Cerrado/ Pucara;5200;CLF;3 dormitorios;2 baños;73 m² útiles;3 dormitorios | 2 baños | 73 m² útiles;Pucará 4818, Ñuñoa, Metro Simón Bolivar, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Manuel Montt / Simón Bolivar/ Calle Tranquila;5300;CLF;2 dormitorios;1 baño;67 m² útiles;2 dormitorios | 1 baño | 67 m² útiles;Manuel Montt / Simón Bolivar/ Calle Tranquila, Metro Monseñor Eyzaguirre, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Casa Venta Obispo Orrego Villa Olímpica;195000000;CLP;3 dormitorios;1 baño;92 m² útiles;3 dormitorios | 1 baño | 92 m² útiles;Obispo Orrego 1477, Ñuñoa, Estadio Nacional, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Casa En Venta De 3 Dorm. En Ñuñoa;13200;CLF;3 dormitorios;3 baños;191 m² útiles;3 dormitorios | 3 baños | 191 m² útiles;Los Cerezos/Juan XXIII, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Para Renovar!, Pque Juan Xxiii, Barrio Tranquilo;8945;CLF;6 dormitorios;3 baños;184 m² útiles;6 dormitorios | 3 baños | 184 m² útiles;Psje Los Cerezos, 600 - 900, Parque Juan XXIII, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Casa En Venta De 4 Dorm. En Ñuñoa;760000000;CLP;4 dormitorios;3 baños;140 m² útiles;4 dormitorios | 3 baños | 140 m² útiles;Duble Almeyda, Diagonal Oriente, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Casa En Venta De 7 Dorm. En Ñuñoa;17200;CLF;7 dormitorios;4 baños;188 m² útiles;7 dormitorios | 4 baños | 188 m² útiles;Estrella Solitaria, Plaza Egaña, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Casa En Venta De 4 Dorm. En Ñuñoa;14500;CLF;4 dormitorios;1 baño;90 m² útiles;4 dormitorios | 1 baño | 90 m² útiles;Av. Echequeñique, Parque Botánico, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Venta Casa Ñuñoa Metro Grecia De 3 Dorm. Remodelada;10100;CLF;3 dormitorios;3 baños;195 m² útiles;3 dormitorios | 3 baños | 195 m² útiles;Las Torpederas - Reina Del Mar, Villa Frei, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Casa En Venta De 6 Dorm. En Ñuñoa;13800;CLF;3 dormitorios;2 baños;311 m² útiles;3 dormitorios | 2 baños | 311 m² útiles;José Domingo Cañas Con Pedro De Valdivia, Metro Ñuñoa, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;"Vendo Casa En La Reina Uf19.000 &quot;metro Plaza Egaña&quot";19000;CLF;6 dormitorios;3 baños;695 m² totales;6 dormitorios | 3 baños | 695 m² totales;Blest Gana, Ñuñoa, Estadio Nacional, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Amplia Casa Con Gran Terreno A La Venta En Ñuñoa;14000;CLF;5 dormitorios;4 baños;198 m² útiles;5 dormitorios | 4 baños | 198 m² útiles;Av. Sur / Julio Cordero, Parque San Eugenio - Metro Ñuble, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Oportunidad ¡¡ Casa Con Gran Terreno En Ñuñoa;11000;CLF;3 dormitorios;2 baños;121 m² útiles;3 dormitorios | 2 baños | 121 m² útiles;Beta, Ñuñoa, Chile, Estadio Nacional, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Gran Oportunidad!!! Vendo Casa Ñuñoa;425000000;CLP;3 dormitorios;2 baños;148 m² útiles;3 dormitorios | 2 baños | 148 m² útiles;SIMON BOLIVAR, Plaza Egaña, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Amplia Casa En Barrio Consolidado Y Seguro En Ñuñoa;10490;CLF;4 dormitorios;3 baños;122 m² útiles;4 dormitorios | 3 baños | 122 m² útiles;Parque Juan XXIII, Parque Juan XXIII, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Oportunidad Barrio Gran Demanda/ Amplia;9000;CLF;4 dormitorios;4 baños;139 m² útiles;4 dormitorios | 4 baños | 139 m² útiles;Los Jardines 526, Ñuñoa, Chile, Parque Juan XXIII, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Casa En Venta De 10 Dorm. En Ñuñoa;15000;CLF;10 dormitorios;5 baños;287 m² útiles;10 dormitorios | 5 baños | 287 m² útiles;Suarez Mujica/Campo Deporte, Estadio Nacional, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Oportunidad Casa A La Venta;11900;CLF;5 dormitorios;4 baños;198 m² útiles;5 dormitorios | 4 baños | 198 m² útiles;Avda Sur/ Julio Cordero, Parque San Eugenio - Metro Ñuble, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Casa En Venta De 4 Dorm. En Ñuñoa;9350;CLF;4 dormitorios;3 baños;172 m² útiles;4 dormitorios | 3 baños | 172 m² útiles;Nancy /Eduardo Castillo Velazco, Metro Irarrázaval, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Liquidamos Linda Casa  Ñuñoa, Apta Empresas;18920;CLF;6 dormitorios;6 baños;400 m² útiles;6 dormitorios | 6 baños | 400 m² útiles;EDUARDO CASTILLO VELASCO, Estadio Nacional, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Casa Sólida Con Potencial Comercial;400000000;CLP;5 dormitorios;3 baños;179 m² útiles;5 dormitorios | 3 baños | 179 m² útiles;Marchant Pereira, 3300 - 3600, Metro Ñuñoa, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Hermosa Casa 5 Dormitorios, 3 Baños. Dublé Almeyda/ Exequiel;16500;CLF;5 dormitorios;3 baños;194 m² útiles;5 dormitorios | 3 baños | 194 m² útiles;Dublé Almeyda /Exequiel Figueroa, Diagonal Oriente, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Casa En Venta De 3 Dorm. En Ñuñoa;10714;CLF;3 dormitorios;3 baños;139 m² útiles;3 dormitorios | 3 baños | 139 m² útiles;Pedro Lautaro Ferrer, Plaza Ñuñoa, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Gran Oportunidad En Ñuñoa |ureta Bravo Propiedades|;7900;CLF;7 dormitorios;3 baños;170 m² útiles;7 dormitorios | 3 baños | 170 m² útiles;Exequiel Fernández 863, Estadio Nacional, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Muy Buen Local Comercial En Ñuñoa;7546;CLF;;1 baño;80 m² útiles;1 baño | 80 m² útiles;Los Jardines, Parque Juan XXIII, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Liquidamos Excelente Propiedad Comercial Al Lado Plaza Ñuñoa;16162;CLF;3 dormitorios;5 baños;260 m² útiles;3 dormitorios | 5 baños | 260 m² útiles;JUAN ENRIQUE CONCHA, Plaza Ñuñoa, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Casa En Venta De 7 Dorm. En Ñuñoa;15569;CLF;7 dormitorios;4 baños;237 m² útiles;7 dormitorios | 4 baños | 237 m² útiles;Pedro Torres, Parque Juan XXIII, Ñuñoa;
2025-11-29 18:12:10;Ñuñoa;casa;Casa En Venta De 4 Dorm. 2 Baños En Ñuñoa Parque Juan Xxiii;400000000;CLP;4 dormitorios;3 baños;112 m² útiles;4 dormitorios | 3 baños | 112 m² útiles;LOS JARDINES, Parque Juan XXIII, Ñuñoa;
