fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion
2025-11-29 18:08:24;Ñuñoa;casa;Sector Seguro De La Comuna De Ñuñoa;10990;CLF;4 dormitorios;2 baños;134 m² útiles;4 dormitorios | 2 baños | 134 m² útiles;Metro Principe De Gales, Diego De Almagro, Ñuñoa;
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Venta De 5 Dorm. En Ñuñoa;14900;CLF;5 dormitorios;3 baños;290 m² útiles;5 dormitorios | 3 baños | 290 m² útiles;Plaza Eusebio Lillo/ A Dos Calles De Estación De Metro, Metro Ñuñoa, Ñuñoa;
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Venta De 4 Dorm. En Ñuñoa;17700;CLF;4 dormitorios;5 baños;340 m² útiles;4 dormitorios | 5 baños | 340 m² útiles;Simón Bolivar/Coventry, Plaza Egaña, Ñuñoa;
2025-11-29 18:08:24;Ñuñoa;casa;Oportunidad Venta Casa Ñuñoa;10500;CLF;4 dormitorios;3 baños;197 m² útiles;4 dormitorios | 3 baños | 197 m² útiles;Estadio Nacional, Ñuñoa;
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Venta De 5 Dorm. En Ñuñoa;16800;CLF;5 dormitorios;4 baños;490 m² útiles;5 dormitorios | 4 baños | 490 m² útiles;A Dos Cuadras De Metro Monseñor Eyzaguirre. Ñuñoa, Metro Monseñor Eyzaguirre, Ñuñoa;
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Venta De 6 Dorm. En Ñuñoa;17300;CLF;6 dormitorios;3 baños;266 m² útiles;6 dormitorios | 3 baños | 266 m² útiles;Sector Pedro De Valdivia/ Antonio Varas / Casa Comercial / Estacionamientos / Bodega, Metro Ñuñoa, Ñuñoa;
2025-11-29 18:08:24;Ñuñoa;casa;Gran Terreno / Barrio Clásico Ñuñoa;27900;CLF;5 dormitorios;4 baños;506 m² útiles;5 dormitorios | 4 baños | 506 m² útiles;Eduardo Castillo Velasco, Juan Gómez Millas, Ñuñoa;
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Venta De 5 Dorm. En Ñuñoa;10050;CLF;5 dormitorios;3 baños;120 m² útiles;5 dormitorios | 3 baños | 120 m² útiles;Metro Simón Bolivar / Avenida Ossa, Metro Simón Bolivar, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa En Venta De 4 Dorm. En Ñuñoa;12900;CLF;4 dormitorios;2 baños;173 m² útiles;4 dormitorios | 2 baños | 173 m² útiles;Villaseca - Simón Bolívar - Ñuñoa, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa En Venta En Metro Chile España, Colegio Manuel De Salas;12100;CLF;5 dormitorios;4 baños;156 m² útiles;5 dormitorios | 4 baños | 156 m² útiles;Plaza Ñuñoa, Plaza Ñuñoa, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Propiedad Con 2 Casas, Accesos Independientes, Cercano A Ira;13850;CLF;5 dormitorios;2 baños;296 m² útiles;5 dormitorios | 2 baños | 296 m² útiles;Tegualda 2016, Ñuñoa, Metro Irarrázaval, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Terreno En Ñuñoa De 940mt2;41000;CLF;4 dormitorios;3 baños;145 m² útiles;4 dormitorios | 3 baños | 145 m² útiles;Plaza Ñuñoa, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Amplia Casa De 4 Dormitorios Plaza Ñuñoa, Metro Chileespaña;13000;CLF;4 dormitorios;3 baños;183 m² útiles;4 dormitorios | 3 baños | 183 m² útiles;Amplia Casa En El Corazón De Ñuñoa. José Ignacio Vergara Entre Duble Almeyda Y Castillo Velasco. Plaza Ñuñoa. Metro Chile España, Plaza Ñuñoa, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa En Venta De 3 Dorm. En Ñuñoa;8200;CLF;3 dormitorios;3 baños;100 m² útiles;3 dormitorios | 3 baños | 100 m² útiles;Simón Bolivar/ Estrella Solitaria, Plaza Egaña, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa En Venta 4d, 3b, 3e, Piscina Y Gran Terreno En Ñuñoa.;23200;CLF;4 dormitorios;3 baños;234 m² útiles;4 dormitorios | 3 baños | 234 m² útiles;Irarrázabal, Villa Frei, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa En Venta Patrimonial De 3 Pisos En Ñuñoa.;11850;CLF;5 dormitorios;3 baños;239 m² útiles;5 dormitorios | 3 baños | 239 m² útiles;Av. Gral Bustamante/Mujica, Metro Irarrázaval, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Venta Casa Ñuñoa;8200;CLF;5 dormitorios;3 baños;134 m² útiles;5 dormitorios | 3 baños | 134 m² útiles;Plaza Ñuñoa, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Maravillosa Casa Piso Parquet Ñuñoa;17000;CLF;4 dormitorios;3 baños;170 m² útiles;4 dormitorios | 3 baños | 170 m² útiles;Galicia, Ñuñoa, Parque Juan XXIII, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Oportunidad ! Exquisito Townhouse En Zona Residencial, Ñuñoa;9900;CLF;3 dormitorios;3 baños;100 m² útiles;3 dormitorios | 3 baños | 100 m² útiles;García Moreno 600 - 900, Ñuñoa, Parque Botánico, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa Ñuñoa,sector Residencial, Aislada, Bien Conservada;10105;CLF;4 dormitorios;2 baños;98 m² útiles;4 dormitorios | 2 baños | 98 m² útiles;Gral. Gorostiaga 837, Ñuñoa, Santiago, Parque Botánico, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa En Venta De 3 Dorm. En Ñuñoa;11790;CLF;3 dormitorios;3 baños;162 m² útiles;3 dormitorios | 3 baños | 162 m² útiles;Crescente Errazuriz 545, Estadio Nacional, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa Condominio / Rosita Renard / Metro Principe De Gales;8500;CLF;3 dormitorios;2 baños;120 m² útiles;3 dormitorios | 2 baños | 120 m² útiles;Rosita Renard 900 - 1200, Ñuñoa, Metro Simón Bolivar, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa En Venta De 5 Dorm. En Ñuñoa;8900;CLF;5 dormitorios;3 baños;102 m² útiles;5 dormitorios | 3 baños | 102 m² útiles;AMAPOLAS, Amapolas, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa En Venta Para Remodelar Emilia Téllez;6700;CLF;5 dormitorios;2 baños;94 m² útiles;5 dormitorios | 2 baños | 94 m² útiles;Metro Simón Bolivar, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa En Venta En Ñuñoa;315000000;CLP;4 dormitorios;2 baños;87 m² útiles;4 dormitorios | 2 baños | 87 m² útiles;Coventry / Irarrázaval, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa En Venta En Ñuñoa;8800;CLF;5 dormitorios;2 baños;160 m² útiles;5 dormitorios | 2 baños | 160 m² útiles;Campoamor 2960, 7.77e+06 - 7.7703e+06 Santiago, Ñuñoa, Región Metropolitana, Chile, Plaza Ñuñoa, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa En Venta En Batlle Y Ordoñez, Ñuñoa;17152;CLF;6 dormitorios;3 baños;253 m² útiles;6 dormitorios | 3 baños | 253 m² útiles;Impactante Casa En Venta En Batlle Y Ordoñez Con Augusto Villanueva, Parque Juan XXIII, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa En Venta De 5 Dorm. En Ñuñoa;17100;CLF;5 dormitorios;4 baños;190 m² útiles;5 dormitorios | 4 baños | 190 m² útiles;GARCIA MORENO / HERNANDO DE AGUIRRE, Parque Botánico, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa Para Uso Comercial En Ñuñoa;19500;CLF;4 dormitorios;3 baños;216 m² útiles;4 dormitorios | 3 baños | 216 m² útiles;Metro Monseñor Eyzaguirre, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa En Venta En Metro Monseñor Eyzaguirre Ñuñoa;14000;CLF;7 dormitorios;3 baños;226 m² útiles;7 dormitorios | 3 baños | 226 m² útiles;SUCRE /JOSE MANUEL INFANTE / MIGUEL CLARO, Metro Monseñor Eyzaguirre, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa En Venta En Villa Olímpica Ñuñoa Con Terraza;4200;CLF;4 dormitorios;2 baños;105 m² útiles;4 dormitorios | 2 baños | 105 m² útiles;Obispo Orrego 1201, Ñuñoa, Chile, Estadio Nacional, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Vendo Casa A Pasos Del Metro Los Orientales;7000;CLF;5 dormitorios;2 baños;76 m² útiles;5 dormitorios | 2 baños | 76 m² útiles;La Quilla, Villa Frei, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa En Venta En Ñuñoa, Cercano Al Mall Y Metro;8123;CLF;4 dormitorios;2 baños;108 m² útiles;4 dormitorios | 2 baños | 108 m² útiles;FRANCISCO DE VILLAGRA, Plaza Egaña, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa De 2 Pisos En Venta De 3 Dorm. 2b 1est, Metro Ñuñoa;7900;CLF;3 dormitorios;3 baños;141 m² útiles;3 dormitorios | 3 baños | 141 m² útiles;Sucre Con Ricardo Layon, Metro Monseñor Eyzaguirre, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Venta Townhouse Con Patio Privado, Ñuñoa;8200;CLF;3 dormitorios;3 baños;100 m² útiles;3 dormitorios | 3 baños | 100 m² útiles;Ñuñoa, Diagonal Oriente;
2025-11-29 18:08:45;Ñuñoa;casa;Venta Gran Casa Espectacular!!!!;7800;CLF;3 dormitorios;2 baños;86 m² útiles;3 dormitorios | 2 baños | 86 m² útiles;Ñuñoa, Villa Frei;
2025-11-29 18:08:45;Ñuñoa;casa;Casa Sólida Y Familiar A Pasos De Parques, Ñuñoa;9200;CLF;3 dormitorios;2 baños;134 m² útiles;3 dormitorios | 2 baños | 134 m² útiles;Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Remodelada, Patios Interiores Y Terraza, Sin Estacionamiento;8900;CLF;3 dormitorios;2 baños;101 m² útiles;3 dormitorios | 2 baños | 101 m² útiles;Guillermo Franke ,, Metro Monseñor Eyzaguirre, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Amplia Casa Con Piscina Y Quincho En Juan Moya, Ñuñoa;12500;CLF;3 dormitorios;3 baños;326 m² útiles;3 dormitorios | 3 baños | 326 m² útiles;Pje. Juan Moya Morales ,, Parque Juan XXIII, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa Familiar Con Gran Espacio Y Ubicación Privile...;12000;CLF;3 dormitorios;2 baños;120 m² útiles;3 dormitorios | 2 baños | 120 m² útiles;Ñuñoa, Plaza Egaña;
2025-11-29 18:08:45;Ñuñoa;casa;Encantadora Y Amplia Casa En Venta En El Corazón D...;12500;CLF;4 dormitorios;3 baños;180 m² útiles;4 dormitorios | 3 baños | 180 m² útiles;Ñuñoa, Metro Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa En Venta Ñuñoa. Solida Cerca Del Calasanz.;13100;CLF;6 dormitorios;3 baños;173 m² útiles;6 dormitorios | 3 baños | 173 m² útiles;Ñuñoa, Parque Juan XXIII;
2025-11-29 18:08:45;Ñuñoa;casa;Venta Casa Familiar Con Gran Terreno, Ñuñoa;14000;CLF;5 dormitorios;2 baños;152 m² útiles;5 dormitorios | 2 baños | 152 m² útiles;Ñuñoa, Plaza Egaña;
2025-11-29 18:08:45;Ñuñoa;casa;Casa Jardín Infantil En Venta En Ñuñoa Totalmente ...;21000;CLF;11 dormitorios;4 baños;307 m² útiles;11 dormitorios | 4 baños | 307 m² útiles;Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Gran Casa En Venta En Ñuñoa;12000;CLF;5 dormitorios;3 baños;198 m² útiles;5 dormitorios | 3 baños | 198 m² útiles;Ñuñoa, Parque San Eugenio - Metro Ñuble;
2025-11-29 18:08:45;Ñuñoa;casa;Amplia Casa Esquina En Venta. Ñuñoa. ;12900;CLF;4 dormitorios;2 baños;127 m² útiles;4 dormitorios | 2 baños | 127 m² útiles;Ñuñoa, Diego De Almagro;
2025-11-29 18:08:45;Ñuñoa;casa;Casa En Venta Ñuñoa. Estilo Español Impecable.;18525;CLF;5 dormitorios;2 baños;274 m² útiles;5 dormitorios | 2 baños | 274 m² útiles;Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Venta Casa Remodelada En Villa Frei, Ñuñoa;9386;CLF;4 dormitorios;3 baños;260 m² útiles;4 dormitorios | 3 baños | 260 m² útiles;Ñuñoa, Villa Frei;
2025-11-29 18:08:45;Ñuñoa;casa;Casa En Venta Con Amplio Terreno Y Gran Potencial ...;16700;CLF;4 dormitorios;4 baños;170 m² útiles;4 dormitorios | 4 baños | 170 m² útiles;Chile, Ñuñoa;
2025-11-29 18:08:45;Ñuñoa;casa;Casa Completamente Remodelada En Ñuñoa;13600;CLF;5 dormitorios;2 baños;210 m² útiles;5 dormitorios | 2 baños | 210 m² útiles;Ñuñoa, Estadio Nacional;
2025-11-29 18:08:45;Ñuñoa;casa;Venta De Casa Con Gran Terreno Y Potencial En Plen...;13000;CLF;6 dormitorios;2 baños;200 m² útiles;6 dormitorios | 2 baños | 200 m² útiles;Ñuñoa, Estadio Nacional;
2025-11-29 18:08:45;Ñuñoa;casa;Se Vende Acogedora Casa En Barrio Residencial De Ñ...;9025;CLF;4 dormitorios;2 baños;108 m² útiles;4 dormitorios | 2 baños | 108 m² útiles;Ñuñoa, Amapolas;
2025-11-29 18:08:45;Ñuñoa;casa;Venta De Casa Con Historia Y Gran Potencial En El ...;14500;CLF;5 dormitorios;3 baños;228 m² útiles;5 dormitorios | 3 baños | 228 m² útiles;Ñuñoa, Metro Monseñor Eyzaguirre;
2025-11-29 18:08:45;Ñuñoa;casa;Venta Casa Amplia Para Familias Grandes, Ñuñoa;20900;CLF;6 dormitorios;3 baños;205 m² útiles;6 dormitorios | 3 baños | 205 m² útiles;Ñuñoa, Plaza Egaña;
2025-11-29 18:08:45;Ñuñoa;casa; Casa Esquina Con Historia Y Encanto En Ñuñoa;12300;CLF;4 dormitorios;2 baños;164 m² útiles;4 dormitorios | 2 baños | 164 m² útiles;Ñuñoa, Parque Juan XXIII;
2025-11-29 18:08:45;Ñuñoa;casa;Venta Casa Familiar Con Vida De Barrio, Ñuñoa;9025;CLF;3 dormitorios;3 baños;123 m² útiles;3 dormitorios | 3 baños | 123 m² útiles;Ñuñoa, Amapolas;
2025-11-29 18:09:27;Ñuñoa;casa;Venta Casa Con Gran Terreno, Ñuñoa;17700;CLF;6 dormitorios;2 baños;288 m² útiles;6 dormitorios | 2 baños | 288 m² útiles;Ñuñoa, Metro Monseñor Eyzaguirre;
