fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;url;latitud;longitud;direccion_geocoded
2025-11-29 18:01:37;La Reina;departamento;Departamento Barrio Metro Simón Bolívar La Reina;4590;CLF;3 dormitorios;1 baño;67 m² útiles;3 dormitorios | 1 baño | 67 m² útiles;Av. Ossa 727, La Reina, Metro Simón Bolivar, La Reina;;-33.4420014;-70.57242;Av. Ossa 727, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Departamento Principe De Gales 3d-2b-1e-1bod.;6500;CLF;3 dormitorios;2 baños;94 m² útiles;3 dormitorios | 2 baños | 94 m² útiles;Las Arañas, La Reina, Metro Príncipe De Gales - Country Club, La Reina;;-33.4312848;-70.57214;Las Arañas, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Departamento 1er Piso;3400;CLF;2 dormitorios;1 baño;45 m² útiles;2 dormitorios | 1 baño | 45 m² útiles;Av. Larraín, La Reina, Metro Simón Bolivar, La Reina;;-33.4534835;-70.5696038;Av. Larraín, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Departamento Con Vista Al Parque;15800;CLF;4 dormitorios;3 baños;187 m² útiles;4 dormitorios | 3 baños | 187 m² útiles;Nicanor Pl., La Reina Alta, La Reina;;-33.4364067;-70.5328746;Nicanor Pl., La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Departamento En Venta En Simón Bolívar;6200;CLF;3 dormitorios;2 baños;78 m² útiles;3 dormitorios | 2 baños | 78 m² útiles;Av. Simón Bolívar 6371, La Reina, Metro Simón Bolivar, La Reina;;-33.4454396;-70.5565816;Av. Simón Bolívar 6371, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;4d+3b Condominio Familiar En La Reina. A Pasos De Todo.;11360;CLF;4 dormitorios;3 baños;140 m² útiles;4 dormitorios | 3 baños | 140 m² útiles;Loreley 1058, La Reina, Palmas De Mallorca, La Reina;;-33.4431509;-70.5664435;Loreley 1058, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Departamento Con Amplio Jardin;10050;CLF;3 dormitorios;2 baños;113 m² útiles;3 dormitorios | 2 baños | 113 m² útiles;Carlos Ossandón, La Reina;;-33.4374632;-70.5420687;Carlos Ossandón, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Departamento Con Vista Despejada;4800;CLF;1 dormitorio;1 baño;47 m² útiles;1 dormitorio | 1 baño | 47 m² útiles;Loreley, Metro Príncipe De Gales - Country Club, La Reina;;-33.4432051;-70.5662143;Loreley, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Departamento A Pasos Del Metro;7890;CLF;3 dormitorios;2 baños;98 m² útiles;3 dormitorios | 2 baños | 98 m² útiles;Ricardo Wagner, Troncos Viejos, La Reina;;-33.4324496;-70.5754983;Ricardo Wagner, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Oportunidad Única! Precioso Depto En La Reina Alta;14200;CLF;3 dormitorios;3 baños;138 m² útiles;3 dormitorios | 3 baños | 138 m² útiles;Alvaro Casanova SN, La Reina Alta, La Reina;;-33.442754;-70.5193029;Alvaro Casanova SN, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Depto En Venta De 3 Dorm. En La Reina/ Loreley / P. De Gales;10790;CLF;3 dormitorios;3 baños;127 m² útiles;3 dormitorios | 3 baños | 127 m² útiles;LORELEY / PRINCIPE DE GALES, Metro Príncipe De Gales - Country Club, La Reina;;-33.4379572;-70.5710417;LORELEY / PRINCIPE DE GALES, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;3 Dorm + Sala De Estar | 148 M2 Totales;10460;CLF;3 dormitorios;3 baños;118 m² útiles;3 dormitorios | 3 baños | 118 m² útiles;Helsinski 5774, 7870310 La Reina, Región Metropolitana, Chile, Blest Gana, La Reina;;-33.4565182;-70.5705666;Helsinski 5774, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Departamento / Estudio, Nuevo. Sin Comisión.;8900;CLF;2 dormitorios;2 baños;102 m² útiles;2 dormitorios | 2 baños | 102 m² útiles;Alvaro Casanova / El Sendero, La Reina Alta, La Reina;;-32.9015989;-71.2639826;Alvaro Casanova / El Sendero, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Departamento En Venta De 3 Dorm. En La Reina;15200;CLF;3 dormitorios;3 baños;237 m² útiles;3 dormitorios | 3 baños | 237 m² útiles;Alvaro Casanova / El Sendero, La Reina Alta, La Reina;;-32.9015989;-71.2639826;Alvaro Casanova / El Sendero, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Departamento Remodelado 3 Dts En La Reina;5300;CLF;3 dormitorios;1 baño;65 m² útiles;3 dormitorios | 1 baño | 65 m² útiles;Principe De Gales/Monseñor Edwards, Metro Príncipe De Gales - Country Club, La Reina;;-33.4386284;-70.5612379;Principe De Gales/Monseñor Edwards, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Depto Remodelado 3d/2b Condominio La Reina;5300;CLF;3 dormitorios;2 baños;90 m² útiles;3 dormitorios | 2 baños | 90 m² útiles;La Cañada 7300, 7850328 La Reina, Región Metropolitana, Chile, La Reina;;-33.441488;-70.5571647;La Cañada 7300, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Impecable Departamento Remodelado Y Grandes Areas Verdes;5300;CLF;3 dormitorios;3 baños;90 m² útiles;3 dormitorios | 3 baños | 90 m² útiles;AVDA PRINCIPE DE GALES, La Reina;;-33.4385234;-70.5638002;AVDA PRINCIPE DE GALES, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Venta Depto 2 Dorm Country Club La Reina;6000;CLF;2 dormitorios;2 baños;71 m² útiles;2 dormitorios | 2 baños | 71 m² útiles;Country Club La Reina, Metro Príncipe De Gales - Country Club, La Reina;;-33.4349569;-70.570725;Country Club La Reina, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Departamento En Venta De 3 Dorm. En La Reina;6950;CLF;3 dormitorios;2 baños;73 m² útiles;3 dormitorios | 2 baños | 73 m² útiles;Plaza Egaña, Metro Simón Bolivar, La Reina;;-33.4532969;-70.5707475;Plaza Egaña, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Espectacular! 3d+3b+estar+ Serv+ Gran Parque - Chacra Olmos;14600;CLF;3 dormitorios;3 baños;180 m² útiles;3 dormitorios | 3 baños | 180 m² útiles;Valenzuela Puelma 9235, 7600988 Las Condes, Región Metropolitana, Chile, La Reina Alta, La Reina;;-33.4329698;-70.5334257;Valenzuela Puelma 9235, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Espectacular!3d+3b+estar+serv+ Gran Parque-chacra Los Olmos;14500;CLF;4 dormitorios;3 baños;170 m² útiles;4 dormitorios | 3 baños | 170 m² útiles;Nicanor Pl. 2377, La Reina, La Reina Alta, La Reina;;-33.4364067;-70.5328746;Nicanor Pl. 2377, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Amplio Y Luminoso 3d+2b+est+bod - Metro Príncipe De Gales;6793;CLF;3 dormitorios;2 baños;78 m² útiles;3 dormitorios | 2 baños | 78 m² útiles;Av. Ossa 1500 - 1800, La Reina, Metro Príncipe De Gales - Country Club, La Reina;;-33.4420014;-70.57242;Av. Ossa 1500 - 1800, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Amplio Y Luminoso 3d+2b+estac+bod - Metro Principe De Gales;6793;CLF;3 dormitorios;2 baños;78 m² útiles;3 dormitorios | 2 baños | 78 m² útiles;Av. Ossa 1500 - 1800, La Reina, Metro Príncipe De Gales - Country Club, La Reina;;-33.4420014;-70.57242;Av. Ossa 1500 - 1800, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Amplio Y Luminoso 2d+2b+estac+bod - Metro Principe De Gales;6540;CLF;2 dormitorios;2 baños;74 m² útiles;2 dormitorios | 2 baños | 74 m² útiles;Av. Ossa 1477, 7.8699e+06 - 7.8702e+06 La Reina, Región Metropolitana, Chile, Metro Príncipe De Gales - Country Club, La Reina;;-33.4420014;-70.57242;Av. Ossa 1477, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Departamento En Venta De 2 Dorm. En La Reina;13990;CLF;2 dormitorios;2 baños;100 m² útiles;2 dormitorios | 2 baños | 100 m² útiles;Colegio De La Salle, Metro Simón Bolivar, La Reina;;-33.4409964;-70.5716563;Colegio De La Salle, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Departamento 2d 2b En La Reina, Sector Loreley/ La Cañada;5200;CLF;2 dormitorios;2 baños;46 m² útiles;2 dormitorios | 2 baños | 46 m² útiles;Loreley 1736, La Reina;;-33.4384573;-70.5711686;Loreley 1736, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Departamento En Venta De 1 Dorm. En La Reina;4250;CLF;1 dormitorio;1 baño;46 m² útiles;1 dormitorio | 1 baño | 46 m² útiles;AV. OSSA/ ECHEÑIQUE, Metro Simón Bolivar, La Reina;;-33.4453474;-70.5711941;AV. OSSA/ ECHEÑIQUE, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Departamento En Venta De 4 Dorm. Mas Sala De Estar, La Reina;13000;CLF;4 dormitorios;4 baños;140 m² útiles;4 dormitorios | 4 baños | 140 m² útiles;Las Perdices, La Reina;;-33.4607843;-70.5305924;Las Perdices, La Reina, Santiago, Chile
2025-11-29 18:01:37;La Reina;departamento;Recuperado Banco, Depto 3d 2b Ernesto Hevia 5807, La Reina;7134;CLF;3 dormitorios;2 baños;107 m² útiles;3 dormitorios | 2 baños | 107 m² útiles;Ernesto Hevia 5808, La Reina, Blest Gana, La Reina;;-33.4544284;-70.570096;Ernesto Hevia 5808, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Excelente Dpto. Con Vista Despejada Y Tremenda Terraza;4990;CLF;1 dormitorio;1 baño;68 m² útiles;1 dormitorio | 1 baño | 68 m² útiles;Las Arañas 2100 - 2400, La Reina, Metro Príncipe De Gales - Country Club, La Reina;;-33.4312848;-70.57214;Las Arañas 2100 - 2400, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Luminoso Departamento En Ubicación Excelente;7790;CLF;3 dormitorios;2 baños;96 m² útiles;3 dormitorios | 2 baños | 96 m² útiles;Ricardo Wagner, 1 - 300, Troncos Viejos, La Reina;;-33.4324496;-70.5754983;Ricardo Wagner, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento; Encantador Depa En La Reina: Estilo Y Confort ;6800;CLF;3 dormitorios;3 baños;86 m² útiles;3 dormitorios | 3 baños | 86 m² útiles;Avenida Ossa, 1500 - 1800, Metro Príncipe De Gales - Country Club, La Reina;;-33.4420014;-70.57242;Avenida Ossa, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Departamento En Venta En La Reina;14600;CLF;4 dormitorios;4 baños;180 m² útiles;4 dormitorios | 4 baños | 180 m² útiles;Nicanor Pl. 2377, 7.8603e+06 - 7.8606e+06 La Reina, Región Metropolitana, Chile, La Reina Alta, La Reina;;-33.4364067;-70.5328746;Nicanor Pl. 2377, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Av Ossa / Emilia Tellez - Tipo Mariposa - Terraza;5200;CLF;2 dormitorios;2 baños;60 m² útiles;2 dormitorios | 2 baños | 60 m² útiles;Av. Ossa 1400, Ñuñoa, La Reina;;-33.4420014;-70.57242;Av. Ossa 1400, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Depto A La Venta Frente A La Academia De Guerra;12900;CLF;4 dormitorios;4 baños;136 m² útiles;4 dormitorios | 4 baños | 136 m² útiles;Av. Las Perdices 1263, La Reina, La Reina Alta, La Reina;;-33.4451334;-70.5311479;Av. Las Perdices 1263, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Depto En La Reina Alta;11200;CLF;3 dormitorios;3 baños;120 m² útiles;3 dormitorios | 3 baños | 120 m² útiles;Avenida Las Perdices 1263, La Reina, Chile, La Reina Alta, La Reina;;-33.4451334;-70.5311479;Avenida Las Perdices 1263, La Reina, Santiago, Chile
